Centauri	Pizza vásárlás	Vásárolj 2 db intergalaktikus pizzát!	1200	2
Centauri	Asari Hercegnő megmentése	Ments meg Asari Hercegnőt a Centauri csillagrendszer kobalt népétől.	3400	10
Centauri	Boltok reklámozása	Reklámozd a GalaxisCola-t a Centauri csillagrendszer lakosainak.	800	1
Barnard	Kahlee nyomozása	Gyűjts bizonyítékokat, hogy Kahlee ártatlan.	4500	9
Barnard	Gyros tál vásárlás	Vásárolj 1 db gyros tálat	1400	3
Barnard	Szerezz égkristályokat	A galaktikus ugráshoz elengedhetetlen kellék az égkristály, szerezz két rudat belőle.	2100	4
WISE J104915.57-531906	Aranyrög gyűjtés	Gyűjts mennél több aranyrögöt.	700	2
WISE J104915.57-531906	Klinton Hercegnő gyermeke	Klinton Hercegnő elutazik egy másik csillagrendszerbe, szüksége lenne valakire, aki vigyázna a gyermekére.	4500	5
Wolf 359	Gyűjts égvirágot	Gyűjts égvirágot	6000	7
Wolf 359	Tavigyémánt vadászat	Szerezz mennél több tavigyémántot	4500	3
Lalande 21182	Pizza vásárlás	Vásárolj 2 db intergalaktikus pizzát!	600	8
Lalande 21182	Boltok reklámozása	Reklámozd a GalaxisCola-t a Lalande 21183 csillagrendszer lakosainak.	400	5
Lalande 21182	Gyros tál vásárlás	Vásárolj 1 db gyros tálat	8000	10
Lalande 21182	Szerezz égkristályokat	A galaktikus ugráshoz elengedhetetlen kellék az égkristály, szerezz két rudat belőle.	3100	4
Szíriusz	Fogj macska békákat	Fogj macska békákat.	4500	6
Szíriusz	Vezess vízibiciklit	Vezess vízibiciklit.	3210	3
Szíriusz	Szerelj meg egy űrjárót	Szerelj meg egy űrjárót.	6320	5
Luyten 726-8	Boltok reklámozása	Reklámozd a GalaxisCola-t a Luyten 726-8 csillagrendszer lakosainak.	800	1
Luyten 726-8	Pizza vásárlás	Vásárolj 2 db intergalaktikus pizzát!	4521	10
Luyten 726-8	Gyűjts égvirágot	Gyűjts égvirágot	6000	4
Luyten 726-8	Aranyrög gyűjtés	Gyűjts mennél több aranyrögöt.	700	2
Ross 154	Pizza vásárlás	Vásárolj 2 db intergalaktikus pizzát!	4500	7
Ross 248	Gyros tál vásárlás	Vásárolj 1 db gyros tálat	2301	5
Eridani	Írd egy matek ZH-t	Írd egy matek ZH-t.	7000	10
Eridani	Szerezz égkristályokat	A galaktikus ugráshoz elengedhetetlen kellék az égkristály, szerezz két rudat belőle.	4230	6
Lacaille 9352	Készísd el egy egyetemista programozás beadandóját	Készísd el egy egyetemista programozás beadandóját.	5061	9
Lacaille 9352	Fogj macska békákat	Fogj macska békákat.	3980	4
Lacaille 9352	Tavigyémánt vadászat	Szerezz mennél több tavigyémántot	5600	8
